name,parent,value
CompetenciasTecnicas,,
saber,CompetenciasTecnicas,4
competencias,CompetenciasTecnicas,5
conhecimento,CompetenciasTecnicas,33
pratica,CompetenciasTecnicas,60
vivencia,CompetenciasTecnicas,3
treinamento,CompetenciasTecnicas,39
capacitacao,CompetenciasTecnicas,39
capacidade,CompetenciasTecnicas,39
